,Value
樣本數 (n),12437.0
平均值 (Mean),64.75353086010396
中位數 (Median),70.01219992
標準差 (SD),27.5009609024673
最小值 (Min),1.09e-06
第一四分位數 (Q1),45.1520129
第三四分位數 (Q3),89.28907984
最大值 (Max),99.93921341
缺失值數量 (原始全表),0.0
