,極瘦,偏瘦,標準,偏胖,極胖
01_過輕 (<5th),10.714285714285714,4.716981132075472,11.34020618556701,50.0,0.0
02_正常 (5th-85th),10.891089108910892,9.66542750929368,29.959883296863605,88.17307692307692,81.66666666666667
03_過重 (85th-95th),37.5,56.25,42.03069657615112,86.687306501548,92.7536231884058
04_肥胖 (>=95th),61.904761904761905,78.57142857142857,46.69260700389105,84.21052631578947,87.46355685131195
