Objective_BMI_Group,極瘦 (Very Underweight),偏瘦 (Slightly Underweight),標準 (About Right),偏胖 (Slightly Overweight),極胖 (Very Overweight)
01_過輕 (Underweight),11.914893617021278,45.1063829787234,41.27659574468085,1.702127659574468,0.0
02_正常 (Healthy Weight),1.3013786883133616,13.86419275866512,70.66099729416312,13.400335008375208,0.7730962504831852
03_過重 (Overweight),0.4155844155844156,1.6623376623376624,44.0,50.33766233766234,3.5844155844155843
04_肥胖 (Obese),1.2681159420289856,1.6908212560386473,15.519323671497585,60.809178743961354,20.71256038647343
